input,col2,target
0,0.7599,0.7599
1,0.000385,0.7599
2,0.000466,0.7599
3,0.000482,0.7599
4,0.000431,0.7599
5,0.000475,0.7599
6,0.000471,0.7599
7,0.000466,0.7599
8,0.000462,0.7599
9,0.000457,0.7599
10,0.000453,0.7599
11,0.000449,0.7599
12,0.000446,0.7599
13,0.000443,0.7599
14,0.00044,0.7599
15,0.000437,0.7599
16,0.000433,0.7599
17,0.00043,0.7599
18,0.000426,0.7599
19,0.000422,0.7599
20,0.000418,0.7599
21,0.000415,0.7599
22,0.000414,0.7599
23,0.000413,0.7599
24,0.000412,0.7599
25,0.000412,0.7599
26,0.000411,0.7599
27,0.000411,0.7599
28,0.00041,0.7599
29,0.00041,0.7599
30,0.000409,0.7599
31,0.000409,0.7599
32,0.000408,0.7599
33,0.000407,0.7599
34,0.000407,0.7599
35,0.000406,0.7599
36,0.000406,0.7599
37,0.000405,0.7599
38,0.000404,0.7599
39,0.000403,0.7599
40,0.000403,0.7599
41,0.000402,0.7599
42,0.000401,0.7599
43,0.0004,0.7599
44,0.000399,0.7599
45,0.000398,0.7599
46,0.000397,0.7599
47,0.000397,0.7599
48,0.000396,0.7599
49,0.000395,0.7599
50,0.000394,0.7599
51,0.000392,0.7599
52,0.000392,0.7599
53,0.00039,0.7599
54,0.000389,0.7599
55,0.000388,0.7599
56,0.000387,0.7599
57,0.000386,0.7599
58,0.000384,0.7599
59,0.000383,0.7599
60,0.000382,0.7599
61,0.00038,0.7599
62,0.000379,0.7599
63,0.000377,0.7599
64,0.000375,0.7599
65,0.000374,0.7599
66,0.000372,0.7599
67,0.000371,0.7599
68,0.000369,0.7599
69,0.000368,0.7599
70,0.000366,0.7599
71,0.000365,0.7599
72,0.000363,0.7599
73,0.000361,0.7599
74,0.00036,0.7599
75,0.000358,0.7599
76,0.000357,0.7599
77,0.000355,0.7599
78,0.000353,0.7599
79,0.000351,0.7599
80,0.000349,0.7599
81,0.000348,0.7599
82,0.000346,0.7599
83,0.000344,0.7599
84,0.000342,0.7599
85,0.000339,0.7599
86,0.000337,0.7599
87,0.000335,0.7599
88,0.000332,0.7599
89,0.00033,0.7599
90,0.000328,0.7599
91,0.000326,0.7599
92,0.000324,0.7599
93,0.000322,0.7599
94,0.00032,0.7599
95,0.000318,0.7599
96,0.000316,0.7599
97,0.000314,0.7599
98,0.000311,0.7599
99,0.000309,0.7599
100,0.000306,0.7599
101,0.000304,0.7599
102,0.000301,0.7599
103,0.000299,0.7599
104,0.000296,0.7599
105,0.000293,0.7599
106,0.000291,0.7599
107,0.000288,0.7599
108,0.000286,0.7599
109,0.000283,0.7599
110,0.000281,0.7599
111,0.000278,0.7599
112,0.000275,0.7599
113,0.000273,0.7599
114,0.00027,0.7599
115,0.000267,0.7599
116,0.000265,0.7599
117,0.000262,0.7599
118,0.000259,0.7599
119,0.000257,0.7599
120,0.000254,0.7599
121,0.000251,0.7599
122,0.000249,0.7599
123,0.000246,0.7599
124,0.000244,0.7599
125,0.000241,0.7599
126,0.000239,0.7599
127,0.000236,0.7599
128,0.000234,0.7599
129,0.000232,0.7599
130,0.00023,0.7599
131,0.000227,0.7599
132,0.000225,0.7599
133,0.000223,0.7599
134,0.00022,0.7599
135,0.000218,0.7599
136,0.000216,0.7599
137,0.000214,0.7599
138,0.000211,0.7599
139,0.000209,0.7599
140,0.000207,0.7599
141,0.000205,0.7599
142,0.000204,0.7599
143,0.000202,0.7599
144,0.0002,0.7599
145,0.000198,0.7599
146,0.000196,0.7599
147,0.000195,0.7599
148,0.000193,0.7599
149,0.000191,0.7599
150,0.00019,0.7599
151,0.000188,0.7599
152,0.000186,0.7599
153,0.000185,0.7599
154,0.000184,0.7599
155,0.000182,0.7599
156,0.000181,0.7599
157,0.000179,0.7599
158,0.000178,0.7599
159,0.000177,0.7599
160,0.000176,0.76
161,0.000175,0.76
162,0.000174,0.76
163,0.000173,0.76
164,0.000172,0.76
165,0.000171,0.76
166,0.000171,0.76
167,0.00017,0.76
168,0.000169,0.76
169,0.000169,0.76
170,0.000168,0.76
171,0.000167,0.76
172,0.000167,0.76
173,0.000166,0.76
174,0.000166,0.76
175,0.000166,0.76
176,0.000165,0.76
177,0.000165,0.76
178,0.000165,0.76
179,0.000165,0.76
180,0.000164,0.76
181,0.000164,0.76
182,0.000164,0.76
183,0.000164,0.76
184,0.000164,0.76
185,0.000164,0.76
186,0.000164,0.76
187,0.000164,0.76
188,0.000164,0.76
189,0.000164,0.76
190,0.000164,0.76
191,0.000164,0.76
192,0.000164,0.76
193,0.000164,0.76
194,0.000164,0.76
195,0.000164,0.76
196,0.000164,0.76
197,0.000164,0.76
198,0.000164,0.76
199,0.000164,0.76
